Region,שם מוסד,רשות מקומית,פיקוח,מגזר,מחזור סיום,מקצוע,"י""ל",מספר נבחנים,ממוצע ציון סופי,סמל מוסד
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2022,מתמטיקה,3,120,71.86,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2022,מתמטיקה,4,39,80.64,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2022,מתמטיקה,5,26,82.15,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2023,מתמטיקה,3,99,70.41,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2023,מתמטיקה,4,63,80.46,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2023,מתמטיקה,5,23,82.57,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2021,עברית בחינוך הערבי,3,139,71.85,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2021,עברית בחינוך הערבי,5,97,86.62,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2022,עברית בחינוך הערבי,3,85,68.92,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2022,עברית בחינוך הערבי,5,111,85.79,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2023,עברית בחינוך הערבי,3,100,67.71,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2023,עברית בחינוך הערבי,5,115,87.6,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2021,ערבית לערבים,3,211,75.43,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2021,ערבית לערבים,5,26,92.54,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2022,ערבית לערבים,3,167,74.97,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2022,ערבית לערבים,5,26,90.27,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2023,ערבית לערבים,3,185,74.66,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2023,ערבית לערבים,5,21,88.71,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2021,פיסיקה,5,30,89.03,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2022,פיסיקה,5,29,91.55,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2023,פיסיקה,5,32,89.16,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2021,תקשורת וחברה,5,28,73.21,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2022,תקשורת וחברה,5,12,74.92,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2023,תקשורת וחברה,5,13,68.31,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2021,תשתיות מחשוב ותקשוב,5,49,69.76,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2022,תשתיות מחשוב ותקשוב,5,26,61,248625
west,מקיף גדידה,ג'דיידה-מכר,ממלכתי,ערבי,2023,תשתיות מחשוב ותקשוב,5,29,63.52,248625
west,"חט""ע מכר-ג'דידה",ג'דיידה-מכר,ממלכתי,ערבי,2021,אזרחות,2,67,84.63,248757
west,"חט""ע מכר-ג'דידה",ג'דיידה-מכר,ממלכתי,ערבי,2022,אזרחות,2,76,85.66,248757
west,"חט""ע מכר-ג'דידה",ג'דיידה-מכר,ממלכתי,ערבי,2023,אזרחות,2,74,86.2,248757
